creationDate,type,startDate,endDate,sleepTime
2022-03-14,HKCategoryTypeIdentifierSleepAnalysis,2022-03-14,2022-03-14,0 days 05:07:10
2022-03-15,HKCategoryTypeIdentifierSleepAnalysis,2022-03-15,2022-03-15,0 days 05:45:20
2022-03-16,HKCategoryTypeIdentifierSleepAnalysis,2022-03-16,2022-03-16,0 days 05:20:00
2022-03-17,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-03-172022-03-172022-03-17,2022-03-172022-03-172022-03-17,0 days 07:53:18
2022-03-18,HKCategoryTypeIdentifierSleepAnalysis,2022-03-18,2022-03-18,0 days 05:41:58
2022-03-21,HKCategoryTypeIdentifierSleepAnalysis,2022-03-21,2022-03-21,0 days 04:39:51
2022-03-22,HKCategoryTypeIdentifierSleepAnalysis,2022-03-21,2022-03-22,0 days 05:41:44
2022-03-23,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-03-232022-03-232022-03-23,2022-03-232022-03-232022-03-23,0 days 06:37:55
2022-03-24,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-03-232022-03-24,2022-03-232022-03-24,0 days 05:18:20
2022-03-25,HKCategoryTypeIdentifierSleepAnalysis,2022-03-25,2022-03-25,0 days 04:20:57
2022-03-28,HKCategoryTypeIdentifierSleepAnalysis,2022-03-28,2022-03-28,0 days 03:31:48
2022-03-29,HKCategoryTypeIdentifierSleepAnalysis,2022-03-29,2022-03-29,0 days 05:37:57
2022-03-30,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-03-292022-03-30,2022-03-292022-03-30,0 days 04:38:39
2022-03-31,HKCategoryTypeIdentifierSleepAnalysis,2022-03-31,2022-03-31,0 days 07:19:53
2022-04-01,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-04-012022-04-01,2022-04-012022-04-01,0 days 05:16:15
2022-04-04,HKCategoryTypeIdentifierSleepAnalysis,2022-04-04,2022-04-04,0 days 05:27:39
2022-04-05,HKCategoryTypeIdentifierSleepAnalysis,2022-04-05,2022-04-05,0 days 04:56:36
2022-04-06,HKCategoryTypeIdentifierSleepAnalysis,2022-04-06,2022-04-06,0 days 05:36:27
2022-04-07,HKCategoryTypeIdentifierSleepAnalysis,2022-04-07,2022-04-07,0 days 06:30:30
2022-04-08,HKCategoryTypeIdentifierSleepAnalysis,2022-04-08,2022-04-08,0 days 05:28:34
2022-04-10,HKCategoryTypeIdentifierSleepAnalysis,2022-04-10,2022-04-10,0 days 07:10:24
2022-04-11,HKCategoryTypeIdentifierSleepAnalysis,2022-04-11,2022-04-11,0 days 05:06:44
2022-04-12,HKCategoryTypeIdentifierSleepAnalysis,2022-04-11,2022-04-12,0 days 05:20:10
2022-04-13,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-04-132022-04-132022-04-132022-04-13,2022-04-132022-04-132022-04-132022-04-13,0 days 03:16:56
2022-04-14,HKCategoryTypeIdentifierSleepAnalysis,2022-04-14,2022-04-14,0 days 06:58:29
2022-04-15,HKCategoryTypeIdentifierSleepAnalysis,2022-04-15,2022-04-15,0 days 09:21:22
2022-04-18,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-04-182022-04-18,2022-04-182022-04-18,0 days 00:04:19
2022-04-19,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-04-192022-04-19,2022-04-192022-04-19,0 days 05:40:12
2022-04-20,HKCategoryTypeIdentifierSleepAnalysis,2022-04-20,2022-04-20,0 days 04:25:32
2022-04-21,HKCategoryTypeIdentifierSleepAnalysis,2022-04-21,2022-04-21,0 days 05:32:21
2022-04-22,HKCategoryTypeIdentifierSleepAnalysis,2022-04-22,2022-04-22,0 days 05:11:46
2022-04-25,HKCategoryTypeIdentifierSleepAnalysis,2022-04-25,2022-04-25,0 days 05:56:43
2022-04-26,HKCategoryTypeIdentifierSleepAnalysis,2022-04-26,2022-04-26,0 days 05:10:37
2022-04-27,HKCategoryTypeIdentifierSleepAnalysis,2022-04-27,2022-04-27,0 days 05:41:12
2022-04-28,HKCategoryTypeIdentifierSleepAnalysis,2022-04-28,2022-04-28,0 days 06:38:12
2022-04-29,HKCategoryTypeIdentifierSleepAnalysis,2022-04-29,2022-04-29,0 days 05:22:25
2022-05-02,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-05-022022-05-02,2022-05-022022-05-02,0 days 07:04:13
2022-05-03,HKCategoryTypeIdentifierSleepAnalysis,2022-05-02,2022-05-03,0 days 06:55:21
2022-05-04,HKCategoryTypeIdentifierSleepAnalysis,2022-05-03,2022-05-04,0 days 06:30:02
2022-05-05,HKCategoryTypeIdentifierSleepAnalysis,2022-05-04,2022-05-05,0 days 06:37:00
