creationDate,type,startDate,endDate,sleepTime
2022-09-26,HKCategoryTypeIdentifierSleepAnalysis,2022-09-26,2022-09-26,0 days 05:49:10
2022-09-27,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-262022-09-262022-09-262022-09-262022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-26,2022-09-262022-09-262022-09-262022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-272022-09-27,0 days 12:06:44
2022-09-28,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-282022-09-28,2022-09-282022-09-28,0 days 06:10:24
2022-09-29,HKCategoryTypeIdentifierSleepAnalysis,2022-09-28,2022-09-29,0 days 06:44:39
2022-09-30,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-292022-09-30,2022-09-302022-09-30,0 days 07:35:00
2022-10-01,HKCategoryTypeIdentifierSleepAnalysis,2022-10-01,2022-10-01,0 days 04:54:28
2022-10-03,HKCategoryTypeIdentifierSleepAnalysis,2022-10-02,2022-10-03,0 days 06:27:14
2022-10-04,HKCategoryTypeIdentifierSleepAnalysis,2022-10-03,2022-10-04,0 days 05:53:27
2022-10-05,HKCategoryTypeIdentifierSleepAnalysis,2022-10-04,2022-10-05,0 days 07:00:49
2022-10-06,HKCategoryTypeIdentifierSleepAnalysis,2022-10-06,2022-10-06,0 days 04:59:19
2022-10-07,HKCategoryTypeIdentifierSleepAnalysis,2022-10-07,2022-10-07,0 days 05:30:05
2022-10-10,HKCategoryTypeIdentifierSleepAnalysis,2022-10-09,2022-10-10,0 days 08:16:46
2022-10-11,HKCategoryTypeIdentifierSleepAnalysis,2022-10-10,2022-10-11,0 days 05:37:17
2022-10-12,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-112022-10-12,2022-10-122022-10-12,0 days 06:30:08
2022-10-13,HKCategoryTypeIdentifierSleepAnalysis,2022-10-13,2022-10-13,0 days 04:37:21
2022-10-14,HKCategoryTypeIdentifierSleepAnalysis,2022-10-14,2022-10-14,0 days 05:08:33
2022-10-15,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-152022-10-152022-10-15,2022-10-152022-10-152022-10-15,0 days 05:22:35
2022-10-17,HKCategoryTypeIdentifierSleepAnalysis,2022-10-16,2022-10-17,0 days 05:49:36
2022-10-18,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-18,2022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-18,0 days 13:36:49
2022-10-19,HKCategoryTypeIdentifierSleepAnalysis,2022-10-18,2022-10-19,0 days 05:26:28
2022-10-20,HKCategoryTypeIdentifierSleepAnalysis,2022-10-19,2022-10-20,0 days 06:05:35
2022-10-21,HKCategoryTypeIdentifierSleepAnalysis,2022-10-20,2022-10-21,0 days 06:37:45
2022-10-22,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-212022-10-212022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-21,2022-10-212022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-222022-10-22,0 days 13:40:05
2022-10-23,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-222022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-23,2022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-232022-10-23,0 days 08:58:00
2022-10-24,HKCategoryTypeIdentifierSleepAnalysis,2022-10-24,2022-10-24,0 days 05:25:27
2022-10-25,HKCategoryTypeIdentifierSleepAnalysis,2022-10-24,2022-10-25,0 days 05:58:26
2022-10-26,HKCategoryTypeIdentifierSleepAnalysis,2022-10-25,2022-10-26,0 days 06:36:44
2022-10-27,HKCategoryTypeIdentifierSleepAnalysis,2022-10-26,2022-10-27,0 days 06:57:57
2022-10-28,HKCategoryTypeIdentifierSleepAnalysis,2022-10-27,2022-10-28,0 days 05:35:46
2022-10-29,HKCategoryTypeIdentifierSleepAnalysis,2022-10-28,2022-10-29,0 days 07:57:36
2022-10-30,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-302022-10-302022-10-302022-10-302022-10-30,2022-10-302022-10-302022-10-302022-10-302022-10-30,0 days 05:58:01
2022-10-31,HKCategoryTypeIdentifierSleepAnalysis,2022-10-30,2022-10-31,0 days 06:07:54
2022-11-01,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-312022-11-012022-11-01,2022-11-012022-11-012022-11-01,0 days 06:49:26
2022-11-02,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-11-012022-11-022022-11-022022-11-022022-11-022022-11-022022-11-022022-11-022022-11-02,2022-11-022022-11-022022-11-022022-11-022022-11-022022-11-022022-11-022022-11-022022-11-02,0 days 09:56:19
2022-11-03,HKCategoryTypeIdentifierSleepAnalysis,2022-11-02,2022-11-03,0 days 06:16:59
2022-11-04,HKCategoryTypeIdentifierSleepAnalysis,2022-11-04,2022-11-04,0 days 05:09:50
2022-11-06,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-11-062022-11-06,2022-11-062022-11-06,0 days 07:48:57
2022-11-07,HKCategoryTypeIdentifierSleepAnalysis,2022-11-06,2022-11-07,0 days 06:54:15
